"SPEC","Freq","aphiaID","ScientificName","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Alepocephalus bairdii",10,126682,"Alepocephalus bairdii","Animalia","Chordata","Actinopteri","Alepocephaliformes","Alepocephalidae","Alepocephalus","Alepocephalus bairdii"
"Alosa aestivalis",93,158667,"Alosa aestivalis","Animalia","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Alosa aestivalis"
"Alosa pseudoharengus",2305,158669,"Alosa pseudoharengus","Animalia","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Alosa pseudoharengus"
"Alosa sapidissima",880,158670,"Alosa sapidissima","Animalia","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Alosa sapidissima"
"Amblyraja jenseni",2,105864,"Amblyraja jenseni","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Amblyraja","Amblyraja jenseni"
"Amblyraja radiata",6643,105865,"Amblyraja radiata","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata"
"Ammodytes",1912,125909,"Ammodytes","Animalia","Chordata","Actinopteri","Perciformes","Ammodytidae","Ammodytes",NA
"Ampelisca",1,101445,"Ampelisca","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca",NA
"Anarhichas denticulatus",52,126757,"Anarhichas denticulatus","Animalia","Chordata","Actinopteri","Perciformes","Anarhichadidae","Anarhichas","Anarhichas denticulatus"
"Anarhichas lupus",2323,126758,"Anarhichas lupus","Animalia","Chordata","Actinopteri","Perciformes","Anarhichadidae","Anarhichas","Anarhichas lupus"
"Anarhichas minor",35,126759,"Anarhichas minor","Animalia","Chordata","Actinopteri","Perciformes","Anarhichadidae","Anarhichas","Anarhichas minor"
"Anguilla rostrata",7,158562,"Anguilla rostrata","Animalia","Chordata","Actinopteri","Anguilliformes","Anguillidae","Anguilla","Anguilla rostrata"
"Anomia",16,137650,"Anomia","Animalia","Mollusca","Bivalvia","Pectinida","Anomiidae","Anomia",NA
"Anonyx",13,101592,"Anonyx","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Anonyx",NA
"Anoplogaster cornuta",10,126393,"Anoplogaster cornuta","Animalia","Chordata","Actinopteri","Trachichthyiformes","Anoplogastridae","Anoplogaster","Anoplogaster cornuta"
"Anotopterus pharao",4,126334,"Anotopterus pharao","Animalia","Chordata","Actinopteri","Aulopiformes","Anotopteridae","Anotopterus","Anotopterus pharao"
"Anthias nicholsi",5,159344,"Anthias nicholsi","Animalia","Chordata","Actinopteri","Perciformes","Serranidae","Anthias","Anthias nicholsi"
"Anthomastus grandiflorus",6,125335,"Anthomastus grandiflorus","Animalia","Cnidaria","Anthozoa","Alcyonacea","Alcyoniidae","Anthomastus","Anthomastus grandiflorus"
"Anthoptilum grandiflorum",16,128504,"Anthoptilum grandiflorum","Animalia","Cnidaria","Anthozoa","Pennatulacea","Anthoptilidae","Anthoptilum","Anthoptilum grandiflorum"
"Antigonia capros",7,127418,"Antigonia capros","Animalia","Chordata","Actinopteri","Acanthuriformes","Caproidae","Antigonia","Antigonia capros"
"Antimora rostrata",36,126486,"Antimora rostrata","Animalia","Chordata","Actinopteri","Gadiformes","Moridae","Antimora","Antimora rostrata"
"Aphanopus carbo",3,127085,"Aphanopus carbo","Animalia","Chordata","Actinopteri","Scombriformes","Trichiuridae","Aphanopus","Aphanopus carbo"
"Aphrodita hastata",658,157181,"Aphrodita hastata","Animalia","Annelida","Polychaeta","Phyllodocida","Aphroditidae","Aphrodita","Aphrodita hastata"
"Apristurus",36,105727,"Apristurus","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus",NA
"Arbacia punctulata",9,158058,"Arbacia punctulata","Animalia","Echinodermata","Echinoidea","Arbacioida","Arbaciidae","Arbacia","Arbacia punctulata"
"Arcoscalpellum michelottianum",2,106182,"Arcoscalpellum michelottianum","Animalia","Arthropoda","Thecostraca","Scalpellomorpha","Scalpellidae","Arcoscalpellum","Arcoscalpellum michelottianum"
"Arctica islandica",82,138802,"Arctica islandica","Animalia","Mollusca","Bivalvia","Venerida","Arcticidae","Arctica","Arctica islandica"
"Arenicola marina",1,129868,"Arenicola marina","Animalia","Annelida","Polychaeta",NA,"Arenicolidae","Arenicola","Arenicola marina"
"Argentina silus",1461,126715,"Argentina silus","Animalia","Chordata","Actinopteri","Argentiniformes","Argentinidae","Argentina","Argentina silus"
"Argis dentata",375,107550,"Argis dentata","Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Argis","Argis dentata"
"Argyropelecus aculeatus",36,127306,"Argyropelecus aculeatus","Animalia","Chordata","Actinopteri","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus aculeatus"
"Argyropelecus gigas",2,127308,"Argyropelecus gigas","Animalia","Chordata","Actinopteri","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus gigas"
"Ariomma bondi",1,159592,"Ariomma bondi","Animalia","Chordata","Actinopteri","Scombriformes","Ariommatidae","Ariomma","Ariomma bondi"
"Aristaeopsis edwardsiana",11,240796,"Aristaeopsis edwardsiana","Animalia","Arthropoda","Malacostraca","Decapoda","Aristeidae","Aristaeopsis","Aristaeopsis edwardsiana"
"Aristostomias",3,126201,"Aristostomias","Animalia","Chordata","Actinopteri","Stomiiformes","Stomiidae","Aristostomias",NA
"Arrhis phyllonyx",4,102870,"Arrhis phyllonyx","Animalia","Arthropoda","Malacostraca","Amphipoda","Oedicerotidae","Arrhis","Arrhis phyllonyx"
"Arrhoges occidentalis",15,531617,"Arrhoges occidentalis","Animalia","Mollusca","Gastropoda","Littorinimorpha","Aporrhaidae","Arrhoges","Arrhoges occidentalis"
"Artediellus",1083,126147,"Artediellus","Animalia","Chordata","Actinopteri","Perciformes","Cottidae","Artediellus",NA
"Ascidiacea",1027,1839,"Ascidiacea","Animalia","Chordata","Ascidiacea",NA,NA,NA,NA
"Ascophyllum nodosum",64,145541,"Ascophyllum nodosum","Chromista","Ochrophyta","Phaeophyceae","Fucales","Fucaceae","Ascophyllum","Ascophyllum nodosum"
"Aspidophoroides monopterygius",1665,159459,"Aspidophoroides monopterygius","Animalia","Chordata","Actinopteri","Perciformes","Agonidae","Aspidophoroides","Aspidophoroides monopterygius"
"Aspidophoroides olriki",13,309267,"Aspidophoroides olriki","Animalia","Chordata","Actinopteri","Perciformes","Agonidae","Aspidophoroides","Aspidophoroides olriki"
"Astarte",54,137683,"Astarte","Animalia","Mollusca","Bivalvia","Carditida","Astartidae","Astarte",NA
"Asterias",1970,123219,"Asterias","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias",NA
"Astropecten americanus",68,158490,"Astropecten americanus","Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten","Astropecten americanus"
"Astropecten duplicatus",1,178650,"Astropecten duplicatus","Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten","Astropecten duplicatus"
"Atlantopandalus propinqvus",162,158351,"Atlantopandalus propinqvus","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Atlantopandalus","Atlantopandalus propinqvus"
"Atolla wyvillei",2,135282,"Atolla wyvillei","Animalia","Cnidaria","Scyphozoa","Coronatae","Atollidae","Atolla","Atolla wyvillei"
"Aurelia aurita",6,135306,"Aurelia aurita","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Ulmaridae","Aurelia","Aurelia aurita"
"Axius serratus",23,158379,"Axius serratus","Animalia","Arthropoda","Malacostraca","Decapoda","Axiidae","Axius","Axius serratus"
"Bajacalifornia megalops",3,126687,"Bajacalifornia megalops","Animalia","Chordata","Actinopteri","Alepocephaliformes","Alepocephalidae","Bajacalifornia","Bajacalifornia megalops"
"Balanidae",26,106057,"Balanidae","Animalia","Arthropoda","Thecostraca","Balanomorpha","Balanidae",NA,NA
"Balistes capriscus",1,154721,"Balistes capriscus","Animalia","Chordata","Actinopteri","Tetraodontiformes","Balistidae","Balistes","Balistes capriscus"
"Bassogigas gilli",2,217793,"Bassogigas gilli","Animalia","Chordata","Actinopteri","Ophidiiformes","Ophidiidae","Bassogigas","Bassogigas gilli"
"Bathygadus melanobranchus",1,126463,"Bathygadus melanobranchus","Animalia","Chordata","Actinopteri","Gadiformes","Macrouridae","Bathygadus","Bathygadus melanobranchus"
"Bathylagus bericoides",7,158720,"Bathylagus bericoides","Animalia","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Bathylagus","Bathylagus bericoides"
"Bathylagus euryops",32,126719,"Bathylagus euryops","Animalia","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Bathylagus","Bathylagus euryops"
"Bathynectes longispina",1,394995,"Bathynectes longispina","Animalia","Arthropoda","Malacostraca","Decapoda","Polybiidae","Bathynectes","Bathynectes longispina"
"Bathynectes maravigna",4,107377,"Bathynectes maravigna","Animalia","Arthropoda","Malacostraca","Decapoda","Polybiidae","Bathynectes","Bathynectes maravigna"
"Bathypolypus",1250,138265,"Bathypolypus","Animalia","Mollusca","Cephalopoda","Octopoda","Bathypolypodidae","Bathypolypus",NA
"Bathypterois",11,125669,"Bathypterois","Animalia","Chordata","Actinopteri","Aulopiformes","Ipnopidae","Bathypterois",NA
"Bathyraja spinicauda",2,105868,"Bathyraja spinicauda","Animalia","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja spinicauda"
"Bathysaurus ferox",8,126369,"Bathysaurus ferox","Animalia","Chordata","Actinopteri","Aulopiformes","Bathysauridae","Bathysaurus","Bathysaurus ferox"
"Bathytroctes microlepis",1,126693,"Bathytroctes microlepis","Animalia","Chordata","Actinopteri","Alepocephaliformes","Alepocephalidae","Bathytroctes","Bathytroctes microlepis"
"Benthodesmus simonyi",20,127087,"Benthodesmus simonyi","Animalia","Chordata","Actinopteri","Scombriformes","Trichiuridae","Benthodesmus","Benthodesmus simonyi"
"Beringius turtoni",4,138855,"Beringius turtoni","Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae","Beringius","Beringius turtoni"
"Beryx decadactylus",1,126394,"Beryx decadactylus","Animalia","Chordata","Actinopteri","Beryciformes","Berycidae","Beryx","Beryx decadactylus"
"Bolocera",79,100698,"Bolocera","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Bolocera",NA
"Boltenia ovifera",31,103815,"Boltenia ovifera","Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Boltenia","Boltenia ovifera"
"Boreogadus saida",1,126433,"Boreogadus saida","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Boreogadus","Boreogadus saida"
"Borostomias antarcticus",21,127334,"Borostomias antarcticus","Animalia","Chordata","Actinopteri","Stomiiformes","Stomiidae","Borostomias","Borostomias antarcticus"
"Bothus",1,126110,"Bothus","Animalia","Chordata","Actinopteri","Pleuronectiformes","Bothidae","Bothus",NA
"Brevoortia tyrannus",5,158691,"Brevoortia tyrannus","Animalia","Chordata","Actinopteri","Clupeiformes","Clupeidae","Brevoortia","Brevoortia tyrannus"
"Brisaster fragilis",92,124404,"Brisaster fragilis","Animalia","Echinodermata","Echinoidea","Spatangoida","Schizasteridae","Brisaster","Brisaster fragilis"
"Brosme brosme",1109,126447,"Brosme brosme","Animalia","Chordata","Actinopteri","Gadiformes","Lotidae","Brosme","Brosme brosme"
"Bryozoa",275,146142,"Bryozoa","Animalia","Bryozoa",NA,NA,NA,NA,NA
"Buccinum",950,137701,"Buccinum","Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae","Buccinum",NA
"Caelorinchus caelorinchus",3,154706,"Caelorinchus caelorinchus","Animalia","Chordata","Actinopteri","Gadiformes","Macrouridae","Caelorinchus","Caelorinchus caelorinchus"
"Calathura brachiata",20,118497,"Calathura brachiata","Animalia","Arthropoda","Malacostraca","Isopoda","Leptanthuridae","Calathura","Calathura brachiata"
"Callionymus",2,125930,"Callionymus","Animalia","Chordata","Actinopteri","Callionymiformes","Callionymidae","Callionymus",NA
"Calliostoma occidentale",1,141765,"Calliostoma occidentale","Animalia","Mollusca","Gastropoda","Trochida","Calliostomatidae","Calliostoma","Calliostoma occidentale"
"Cancer borealis",2090,158056,"Cancer borealis","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis"
"Cancer irroratus",1363,158057,"Cancer irroratus","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus"
"Carcharias taurus",1,105843,"Carcharias taurus","Animalia","Chordata","Elasmobranchii","Lamniformes","Odontaspididae","Carcharias","Carcharias taurus"
"Careproctus longipinnis",4,146774,"Careproctus longipinnis","Animalia","Chordata","Actinopteri","Perciformes","Liparidae","Careproctus","Careproctus longipinnis"
"Careproctus ranula",5,159523,"Careproctus ranula","Animalia","Chordata","Actinopteri","Perciformes","Liparidae","Careproctus","Careproctus ranula"
"Careproctus reinhardti",34,127212,"Careproctus reinhardti","Animalia","Chordata","Actinopteri","Perciformes","Liparidae","Careproctus","Careproctus reinhardti"
"Cataetyx laticeps",1,126657,"Cataetyx laticeps","Animalia","Chordata","Actinopteri","Ophidiiformes","Bythitidae","Cataetyx","Cataetyx laticeps"
"Caudina arenata",1,152559,"Caudina arenata","Animalia","Echinodermata","Holothuroidea","Molpadida","Caudinidae","Caudina","Caudina arenata"
"Centropristis striata",4,159348,"Centropristis striata","Animalia","Chordata","Actinopteri","Perciformes","Serranidae","Centropristis","Centropristis striata"
"Centroscyllium fabricii",271,105906,"Centroscyllium fabricii","Animalia","Chordata","Elasmobranchii","Squaliformes","Etmopteridae","Centroscyllium","Centroscyllium fabricii"
"Centroscymnus coelolepis",28,105907,"Centroscymnus coelolepis","Animalia","Chordata","Elasmobranchii","Squaliformes","Somniosidae","Centroscymnus","Centroscymnus coelolepis"
"Ceramaster granularis",311,124020,"Ceramaster granularis","Animalia","Echinodermata","Asteroidea","Valvatida","Goniasteridae","Ceramaster","Ceramaster granularis"
"Cerastoderma pinnulatum",4,156756,"Cerastoderma pinnulatum","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Cerastoderma","Cerastoderma pinnulatum"
"Ceratias holboelli",1,126537,"Ceratias holboelli","Animalia","Chordata","Actinopteri","Lophiiformes","Ceratiidae","Ceratias","Ceratias holboelli"
"Chaceon quinquedens",119,158407,"Chaceon quinquedens","Animalia","Arthropoda","Malacostraca","Decapoda","Geryonidae","Chaceon","Chaceon quinquedens"
"Chauliodus sloani",74,127338,"Chauliodus sloani","Animalia","Chordata","Actinopteri","Stomiiformes","Stomiidae","Chauliodus","Chauliodus sloani"
"Chaunax",1,125796,"Chaunax","Animalia","Chordata","Actinopteri","Lophiiformes","Chaunacidae","Chaunax",NA
"Chiasmodon",24,125956,"Chiasmodon","Animalia","Chordata","Actinopteri","Scombriformes","Chiasmodontidae","Chiasmodon",NA
"Chionoecetes opilio",2304,107315,"Chionoecetes opilio","Animalia","Arthropoda","Malacostraca","Decapoda","Oregoniidae","Chionoecetes","Chionoecetes opilio"
"Chiridota laevis",1,124434,"Chiridota laevis","Animalia","Echinodermata","Holothuroidea","Apodida","Chiridotidae","Chiridota","Chiridota laevis"
"Chlamys islandica",499,140692,"Chlamys islandica","Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Chlamys","Chlamys islandica"
"Chlorophthalmus agassizi",137,126336,"Chlorophthalmus agassizi","Animalia","Chordata","Actinopteri","Aulopiformes","Chlorophthalmidae","Chlorophthalmus","Chlorophthalmus agassizi"
"Chrysogorgia agassizii",5,125351,"Chrysogorgia agassizii","Animalia","Cnidaria","Anthozoa","Alcyonacea","Chrysogorgiidae","Chrysogorgia","Chrysogorgia agassizii"
"Ciliatocardium ciliatum",1,139000,"Ciliatocardium ciliatum","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Ciliatocardium","Ciliatocardium ciliatum"
"Cirroteuthis",1,153091,"Cirroteuthis","Animalia","Mollusca","Cephalopoda","Octopoda","Cirroteuthidae","Cirroteuthis",NA
"Citharichthys arctifrons",807,158791,"Citharichthys arctifrons","Animalia","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys arctifrons"
"Clupea harengus",5942,126417,"Clupea harengus","Animalia","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus"
"Colossendeis",1,134586,"Colossendeis","Animalia","Arthropoda","Pycnogonida","Pantopoda","Colossendeidae","Colossendeis",NA
"Colus",154,137704,"Colus","Animalia","Mollusca","Gastropoda","Neogastropoda","Colidae","Colus",NA
"Conger",10,125624,"Conger","Animalia","Chordata","Actinopteri","Anguilliformes","Congridae","Conger",NA
"Conocara salmonea",3,301785,"Conocara salmonea","Animalia","Chordata","Actinopteri","Alepocephaliformes","Alepocephalidae","Conocara","Conocara salmonea"
"Cookeolus boops",1,218359,"Cookeolus boops","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Priacanthidae","Cookeolus","Cookeolus boops"
"Coryphaenoides carapinus",1,158956,"Coryphaenoides carapinus","Animalia","Chordata","Actinopteri","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides carapinus"
"Coryphaenoides rupestris",87,158960,"Coryphaenoides rupestris","Animalia","Chordata","Actinopteri","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides rupestris"
"Cottunculus microps",73,127235,"Cottunculus microps","Animalia","Chordata","Actinopteri","Perciformes","Psychrolutidae","Cottunculus","Cottunculus microps"
"Cottunculus thompsoni",27,183101,"Cottunculus thompsoni","Animalia","Chordata","Actinopteri","Perciformes","Psychrolutidae","Cottunculus","Cottunculus thompsoni"
"Crangon septemspinosa",612,158355,"Crangon septemspinosa","Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Crangon","Crangon septemspinosa"
"Crossaster papposus",1015,124154,"Crossaster papposus","Animalia","Echinodermata","Asteroidea","Valvatida","Solasteridae","Crossaster","Crossaster papposus"
"Cryptacanthodes maculatus",208,159675,"Cryptacanthodes maculatus","Animalia","Chordata","Actinopteri","Perciformes","Cryptacanthodidae","Cryptacanthodes","Cryptacanthodes maculatus"
"Ctenodiscus crispatus",526,123915,"Ctenodiscus crispatus","Animalia","Echinodermata","Asteroidea","Paxillosida","Ctenodiscidae","Ctenodiscus","Ctenodiscus crispatus"
"Cubiceps gracilis",1,126990,"Cubiceps gracilis","Animalia","Chordata","Actinopteri","Scombriformes","Nomeidae","Cubiceps","Cubiceps gracilis"
"Cubiceps pauciradiatus",1,159424,"Cubiceps pauciradiatus","Animalia","Chordata","Actinopteri","Scombriformes","Nomeidae","Cubiceps","Cubiceps pauciradiatus"
"Cucumaria frondosa",723,124612,"Cucumaria frondosa","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae","Cucumaria","Cucumaria frondosa"
"Cyanea capillata",79,135301,"Cyanea capillata","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Cyaneidae","Cyanea","Cyanea capillata"
"Cyclopterus lumpus",546,127214,"Cyclopterus lumpus","Animalia","Chordata","Actinopteri","Perciformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus"
"Cyrtodaria siliqua",47,140102,"Cyrtodaria siliqua","Animalia","Mollusca","Bivalvia","Adapedonta","Hiatellidae","Cyrtodaria","Cyrtodaria siliqua"
"Cyttopsis rosea",8,127425,"Cyttopsis rosea","Animalia","Chordata","Actinopteri","Zeiformes","Parazenidae","Cyttopsis","Cyttopsis rosea"
"Dendronotus",12,137885,"Dendronotus","Animalia","Mollusca","Gastropoda","Nudibranchia","Dendronotidae","Dendronotus",NA
"Derichthys serpentinus",8,126291,"Derichthys serpentinus","Animalia","Chordata","Actinopteri","Anguilliformes","Derichthyidae","Derichthys","Derichthys serpentinus"
"Desmarestia aculeata",1,145307,"Desmarestia aculeata","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata"
"Dibranchus atlanticus",44,126558,"Dibranchus atlanticus","Animalia","Chordata","Actinopteri","Lophiiformes","Ogcocephalidae","Dibranchus","Dibranchus atlanticus"
"Dichelopandalus leptocerus",252,158356,"Dichelopandalus leptocerus","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Dichelopandalus","Dichelopandalus leptocerus"
"Dicrolene introniger",12,275895,"Dicrolene introniger","Animalia","Chordata","Actinopteri","Ophidiiformes","Ophidiidae","Dicrolene","Dicrolene introniger"
"Diplopteraster multipes",67,124128,"Diplopteraster multipes","Animalia","Echinodermata","Asteroidea","Velatida","Pterasteridae","Diplopteraster","Diplopteraster multipes"
"Dipturus laevis",628,158548,"Dipturus laevis","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Dipturus laevis"
"Drifa glomerata",9,146941,"Drifa glomerata","Animalia","Cnidaria","Anthozoa","Alcyonacea","Nephtheidae","Drifa","Drifa glomerata"
"Duva florida",7,146943,"Duva florida","Animalia","Cnidaria","Anthozoa","Alcyonacea","Nephtheidae","Duva","Duva florida"
"Echinarachnius parma",803,158062,"Echinarachnius parma","Animalia","Echinodermata","Echinoidea","Echinolampadacea","Echinarachniidae","Echinarachnius","Echinarachnius parma"
"Echinus",1,123386,"Echinus","Animalia","Echinodermata","Echinoidea","Camarodonta","Echinidae","Echinus",NA
"Ectreposebastes imus",1,159566,"Ectreposebastes imus","Animalia","Chordata","Actinopteri","Perciformes","Setarchidae","Ectreposebastes","Ectreposebastes imus"
"Enchelyopus cimbrius",1167,126450,"Enchelyopus cimbrius","Animalia","Chordata","Actinopteri","Gadiformes","Lotidae","Enchelyopus","Enchelyopus cimbrius"
"Ensis directus",3,933783,"Ensis directus","Animalia","Mollusca","Bivalvia","Adapedonta","Pharidae","Ensis","Ensis directus"
"Epigonus",7,125967,"Epigonus","Animalia","Chordata","Actinopteri","Acropomatiformes","Epigonidae","Epigonus",NA
"Epimeria loricata",3,102146,"Epimeria loricata","Animalia","Arthropoda","Malacostraca","Amphipoda","Epimeriidae","Epimeria","Epimeria loricata"
"Epizoanthus erdmanni",69,101027,"Epizoanthus erdmanni","Animalia","Cnidaria","Anthozoa","Zoantharia","Epizoanthidae","Epizoanthus","Epizoanthus erdmanni"
"Etmopterus princeps",18,105911,"Etmopterus princeps","Animalia","Chordata","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus","Etmopterus princeps"
"Etropus microstomus",3,158801,"Etropus microstomus","Animalia","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Etropus","Etropus microstomus"
"Eualus fabricii",36,158357,"Eualus fabricii","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Eualus","Eualus fabricii"
"Eualus gaimardii",38,107504,"Eualus gaimardii","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Eualus","Eualus gaimardii"
"Eualus macilentus",25,158359,"Eualus macilentus","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Eualus","Eualus macilentus"
"Eumesogrammus praecisus",53,159817,"Eumesogrammus praecisus","Animalia","Chordata","Actinopteri","Perciformes","Stichaeidae","Eumesogrammus","Eumesogrammus praecisus"
"Eumicrotremus spinosus",327,127217,"Eumicrotremus spinosus","Animalia","Chordata","Actinopteri","Perciformes","Cyclopteridae","Eumicrotremus","Eumicrotremus spinosus"
"Euphausia",2,110673,"Euphausia","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia",NA
"Eurypharynx pelecanoides",15,127165,"Eurypharynx pelecanoides","Animalia","Chordata","Actinopteri","Saccopharyngiformes","Eurypharyngidae","Eurypharynx","Eurypharynx pelecanoides"
"Eusergestes arcticus",84,515738,"Eusergestes arcticus","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Eusergestes","Eusergestes arcticus"
"Eusirus cuspidatus",1,102199,"Eusirus cuspidatus","Animalia","Arthropoda","Malacostraca","Amphipoda","Eusiridae","Eusirus","Eusirus cuspidatus"
"Evermannella indica",1,126339,"Evermannella indica","Animalia","Chordata","Actinopteri","Aulopiformes","Evermannellidae","Evermannella","Evermannella indica"
"Flabellum",82,135114,"Flabellum","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Flabellum",NA
"Flustra foliacea",116,111367,"Flustra foliacea","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Flustridae","Flustra","Flustra foliacea"
"Foetorepus agassizi",34,159623,"Foetorepus agassizi","Animalia","Chordata","Actinopteri","Callionymiformes","Callionymidae","Foetorepus","Foetorepus agassizi"
"Fucus distichus",2,145544,"Fucus distichus","Chromista","Ochrophyta","Phaeophyceae","Fucales","Fucaceae","Fucus","Fucus distichus"
"Fucus vesiculosus",10,145548,"Fucus vesiculosus","Chromista","Ochrophyta","Phaeophyceae","Fucales","Fucaceae","Fucus","Fucus vesiculosus"
"Funiculina quadrangularis",8,128506,"Funiculina quadrangularis","Animalia","Cnidaria","Anthozoa","Pennatulacea","Funiculinidae","Funiculina","Funiculina quadrangularis"
"Gadus morhua",10065,126436,"Gadus morhua","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua"
